,Neighborhood ID,Neighborhood Latitude,Neighborhood Longitude,Pub Name,Pub Latitude,Pub Longitude
0,7,40.89827261213805,-73.86731496814176,Aqueduct North,40.897812,-73.867533
1,46,40.625801065010656,-74.03062069353813,O'Sullivan's,40.62135285594315,-74.03190282438186
2,62,40.69811611017901,-73.92525797487045,Bushwick Public House,40.69810452616295,-73.92487120915003
3,99,40.61476812694226,-74.03197914537984,Pipin's Pop Up,40.62027900515759,-74.03222987876792
4,102,40.86768396449915,-73.92121042203897,Tubby Hook Tavern,40.867739,-73.920628
5,111,40.787657998534854,-73.97705923630603,Frank Mac’s Pub,40.783938,-73.97738000000001
6,113,40.75910089146212,-73.99611936309479,Tír na Nóg,40.75584060506078,-73.99204804785644
7,113,40.75910089146212,-73.99611936309479,O'Neill's,40.761388000000004,-73.990818
8,113,40.75910089146212,-73.99611936309479,Doylers Irish Pub,40.75482,-73.993928
9,114,40.75469110270623,-73.98166882730304,St. Pat's Bar (St. Pat's Bar & Grill),40.756462821681176,-73.98033811216897
10,114,40.75469110270623,-73.98166882730304,Connolly's Pub & Restaurant,40.7561728,-73.9778118
11,114,40.75469110270623,-73.98166882730304,The Perfect Pint,40.757275052984674,-73.98385738291942
12,114,40.75469110270623,-73.98166882730304,Connolly's Pub & Restaurant,40.7573681,-73.9835798
13,114,40.75469110270623,-73.98166882730304,Reilly’s Plates & Pours,40.758138,-73.979843
14,114,40.75469110270623,-73.98166882730304,Sean's Bar & Kitchen,40.75823158092072,-73.97991976303616
15,114,40.75469110270623,-73.98166882730304,Pig 'N' Whistle,40.75823103783498,-73.98408131272338
16,115,40.748303077252174,-73.97833207924127,5th & Mad,40.749523743514345,-73.98321783979763
17,115,40.748303077252174,-73.97833207924127,Playwright Irish Pub,40.74978113288722,-73.98559217423278
18,116,40.744034706747975,-74.00311633472813,The Copper Still,40.743341987013416,-73.99626040949043
19,126,40.737209832715,-73.98137594833541,Molly's Shebeen,40.738364660508275,-73.9835132890077
20,126,40.737209832715,-73.98137594833541,The Globe,40.739005495536546,-73.98364361164049
21,126,40.737209832715,-73.98137594833541,Abbey Tavern,40.74079778772862,-73.98182610836652
22,128,40.70710710727048,-74.0106654452127,Killarney Rose,40.70500721649947,-74.00863066025272
23,128,40.70710710727048,-74.0106654452127,The Boot Room,40.71001434326172,-74.0086441040039
24,128,40.70710710727048,-74.0106654452127,Murphy's Tavern,40.70406521898781,-74.01260037604386
25,128,40.70710710727048,-74.0106654452127,The Dead Rabbit,40.7030514243039,-74.01099234823606
26,129,40.76850859335492,-73.91565374304234,Sissy McGinty's,40.76622572450852,-73.91301028953906
27,129,40.76850859335492,-73.91565374304234,The Wolfhound,40.764017216784595,-73.91534133412702
28,173,40.775923015642896,-73.90228960391673,Jack Jones Bar,40.77333999665926,-73.90669625503938
29,196,40.7146110815117,-73.8410221123401,Cottage Tavern,40.71959,-73.84261
30,239,40.53053148283314,-74.23215775896526,Tilted Kilt,40.530394,-74.231159
31,247,40.7826825671257,-73.95325646837112,O'Flanagan's,40.7835397,-73.950884
32,249,40.71522892046282,-74.00541529873355,TJ Byrnes Bar and Restaurant,40.70923312629616,-74.00374736164414
33,250,40.7485096643122,-73.98871313285247,The Keg Room,40.75070607809179,-73.98606975249055
34,250,40.7485096643122,-73.98871313285247,Playwright Irish Pub,40.74978113288722,-73.98559217423278
35,250,40.7485096643122,-73.98871313285247,The Celtic Rail,40.74993,-73.99004
36,250,40.7485096643122,-73.98871313285247,J.J. Kinahan’s,40.744358132075206,-73.99174196569649
37,250,40.7485096643122,-73.98871313285247,5th & Mad,40.749523743514345,-73.98321783979763
38,271,40.76028033131374,-73.96355614094303,Bloom's Tavern,40.76052886758016,-73.96653234958649
39,271,40.76028033131374,-73.96355614094303,The Spotted Dog,40.76240945378141,-73.96002468116225
40,271,40.76028033131374,-73.96355614094303,The Blasket,40.75949911324469,-73.96519133436675
41,271,40.76028033131374,-73.96355614094303,Murphy's Pub,40.75600285423335,-73.96776616573334
42,273,40.75204236950722,-73.96770824581834,Murphy's Pub,40.75600285423335,-73.96776616573334
43,273,40.75204236950722,-73.96770824581834,Blackwell's,40.75411057751545,-73.97253106381346
44,273,40.75204236950722,-73.96770824581834,Niall's on 52nd,40.756655563857876,-73.96906741977998
45,273,40.75204236950722,-73.96770824581834,Muldoon's Irish Pub,40.751859232327185,-73.973786200159
46,274,40.746917410740195,-73.97121928722265,Muldoon's Irish Pub,40.751859232327185,-73.973786200159
47,276,40.739673047638426,-73.9909471052826,J.J. Kinahan’s,40.744358132075206,-73.99174196569649
48,288,40.56737588957032,-73.89213760232822,the Hibernian,40.566233,-73.891875
49,301,40.75665808227519,-74.00011136202637,Doylers Irish Pub,40.75482,-73.993928
